#log Lx'	#log L_R
33.03176	38.105
32.85991	39.264
32.43708	39.233
32.33668	38.199
32.96274	39.104
32.83708	37.548
31.35567	38.538
32.64355	39.223
32.47347	37.341
32.24544	38.922
29.80892	36.188
30.17661	35.391
31.05587	37.164
32.31564	38.92
31.23422	35.924
31.42061	38.402
31.24642	36.654
32.74592	37.493
31.3891	36.872
30.40929	36.316
31.25526	36.536
30.03576	36.694
31.78661	37.424
31.136	36.356
31.3335	38.038
30.9325	36.611
29.65872	36.338
33.20713	38.792
32.12685	38.032
32.24005	38.302
29.63768	36.257
30.87817	36.259
31.25341	36.665
30.77406	38.188
33.12822	37.797
31.45686	36.295
29.80778	35.746
30.21987	37.051
30.12461	35.912
29.05249	36.614
31.73399	37.454
32.48341	39.605
33.96756	38.63
30.28994	37.055
32.58341	38.159
32.01342	37.566
31.87008	38.908
33.76656	39.407
32.05494	37.914
31.76436	36.389
29.81594	37.493
30.04806	36.826
30.18886	37.877
32.78508	39.235
33.25449	38.199
32.80961	38.085
35.81715	40.892
31.41705	37.851
33.23693	38.545
33.4988	38.65
33.04578	38.444
33.40633	38.647
34.76785	38.844
32.35765	37.24
31.78598	38.639
31.53985	37.945
31.97598	36.726
31.83561	37.885
30.23149	37.847
30.84476	38.073
31.69946	36.858
32.48969	38.874
33.42751	37.875
30.96218	36.813
32.46238	38.831
32.71304	37.853
31.7983	36.495
31.78704	38.355
30.87867	35.913
33.29772	39.083
30.2555	38.477
32.15597	37.795
33.28257	37.149
33.20944	37.921
32.3115	37.565
31.64749	38.103
31.15753	37.376
30.42505	37.581
31.71405	38.685
34.59423	40.095
33.45966	39.334
31.05583	38.02
33.51225	38.178
34.31363	39.39
32.99843	39.45
34.42293	39.076
30.02869	36.967
34.47674	38.579
33.20948	39.231
31.98285	38.291
31.26507	38.011
31.82629	38.349
31.34218	38.308
32.48574	39.243
33.25731	40.091
34.11251	41.434
35.41851	41.021
24.23652	29.44
24.32011	29.45
24.26224	29.63
24.32011	29.65
24.36512	29.66
24.32654	29.24
24.37155	29.3
24.37798	29.18
24.51242	30.64
24.67317	31.62
24.81463	31.85
24.9368	32.17
25.11684	32.43
24.20552	29.76
24.79065	29.69
23.32461	29.94
25.45531	30.89
25.64821	30.89
25.81539	30.89
25.50675	31.6
25.6032	31.76
25.76395	31.76
24.21664	29.91
24.17806	29.87
24.1652	29.89
23.98516	29.62
23.98516	29.71
23.99802	29.66
23.78583	29.45
23.47076	29.11
22.75703	28.34
22.56413	28.02
22.51912	28.38
22.62843	28.49
22.19762	27.51
22.10117	27.25
23.66366	29.8
23.55435	30.09
23.69581	30.07
23.78583	30.09
23.88228	30.08
23.54149	28.98
23.56078	28.92
23.63151	28.92
23.62508	28.92
23.56721	28.92
23.55435	28.92
24.18974	29.24
24.23475	29.3
24.24118	29.18
