log(M/Msun)	logLx(2-10Kev)	logLR(5GHz(0.5))	DL(Mpc)
9.35	40.32	38.1	153.8
9.42	39.97	39.26	152.1
7.18	41.96	39.23	170.7
8.74	39.96	38.2	81.1
8.87	40.78	39.1	81.8
9.06	40.36	37.55	122
7.17	40.29	38.54	60.7
8.56	40.65	39.22	22.4
8.81	40.09	37.34	88.7
8.18	40.48	38.92	49.6
6.7	38.44	36.19	10.2
6.82	38.87	35.39	6.1
7.96	38.89	37.16	19.4
8.78	39.88	38.92	101.3
8.66	38.34	35.92	9.4
7.78	39.67	38.4	16.5
7.83	39.34	36.65	18.8
9.38	39.84	37.49	94.1
8.39	38.9	36.87	19.6
7.16	38.83	36.32	13.3
8.62	38.42	36.54	13.9
7.1	38.32	36.69	10.8
8.6	39.27	37.42	30.7
8.48	38.4	36.36	17.4
7.64	39.7	38.04	12.4
7.62	39.1	36.61	11.7
7.01	37.84	36.34	15.2
9.42	40.51	38.79	32.8
8.98	39.35	38.03	9.2
6.76	42.15	38.3	37.5
7.05	37.76	36.26	3.8
7.98	38.59	36.26	17.7
7.56	39.67	36.67	33.8
7.31	39.22	38.19	25.7
9.46	40.34	37.8	100.2
7.87	39.62	36.29	18.2
7.02	38.06	35.75	3.5
6.86	38.89	37.05	22.6
7.09	38.47	35.91	4.6
6.39	37.63	36.61	6
8.48	39.33	37.45	14
8.84	40.07	39.6	77.9
8.72	42.52	38.63	103.4
6.03	39.98	37.06	34.7
9.31	39.67	38.16	34.5
8.67	39.54	37.57	38.3
7.28	40.96	38.91	27.5
9.64	41.12	39.41	111.3
8.86	39.38	37.91	49.9
8.19	39.72	36.39	25.5
6.76	38.38	37.49	24.9
7.37	38.02	36.83	11.2
6.54	39.22	37.88	50.4
9.33	39.96	39.23	109.9
9.55	40.43	38.2	56
9.1	40.27	38.09	50.7
9.69	44.25	40.89	364.7
7.2	40.35	37.85	102.4
9.29	40.71	38.54	77.7
9.22	41.2	38.65	83
9.25	40.46	38.44	83.2
7.99	42.51	38.65	119
9.24	43.15	38.84	197
7.93	40.95	37.24	60.7
8.1	39.86	38.64	95.1
7.7	39.95	37.95	73.7
8.35	39.86	36.73	19.5
7.48	40.67	37.88	17.1
6.08	39.83	37.85	14.7
6.98	39.72	38.07	45.2
8.02	39.82	36.86	14.7
7.19	42.03	38.87	93.9
9.49	40.77	37.87	15.5
6.17	40.86	36.81	10.3
8.99	39.86	38.83	108.2
7.78	41.68	37.85	100.9
8.59	39.3	36.5	14
6.9	41.28	38.36	14.7
7.05	39.69	35.91	6.6
9.26	40.84	39.08	69
6.56	39.3	38.48	26.8
7.8	40.79	37.8	22.5
9.79	40.19	37.15	16.4
9.11	40.88	37.92	74.9
8.25	40.5	37.56	72.6
8.62	39.03	38.1	16.8
7.4	39.71	37.38	63
6.91	39.15	37.58	28.5
7.76	40.15	38.68	57.2
9.13	43.01	40.09	137.3
9.49	40.82	39.33	157.9
7.52	39.41	38.02	116.9
9.28	41.15	38.18	124.7
8.93	42.81	39.39	73
9.23	40.41	39.45	202.2
8.82	43.11	39.08	133.5
6.49	39.03	36.97	25.3
9.17	42.78	38.58	132.1
9.55	40.36	39.23	172.7
6.76	41.75	38.29	102.5
7.22	40.09	38.01	47.4
7.84	40.23	38.35	69
6.67	40.86	38.31	49.4
8.75	40.18	39.24	101.7
8.42	41.77	40.09	171.8
8.53	42.97	41.43	156.3
9.91	43.37	41.02	152.7
1.06	36.44	29.44	0.0021
1.06	36.57	29.45	0.0021
1.06	36.48	29.63	0.0021
1.06	36.57	29.65	0.0021
1.06	36.64	29.66	0.0021
1.06	36.58	29.24	0.0021
1.06	36.65	29.3	0.0021
1.06	36.66	29.18	0.0021
1	36.94	30.64	0.009
1	37.19	31.62	0.009
1	37.41	31.85	0.009
1	37.6	32.17	0.009
1	37.88	32.43	0.009
0.85	36.64	29.76	0.0032
0.85	37.55	29.69	0.0032
0.85	35.27	29.94	0.0032
1.2	38.17	30.89	0.0125
1.2	38.47	30.89	0.0125
1.2	38.73	30.89	0.0125
1.2	38.25	31.6	0.0125
1.2	38.4	31.76	0.0125
1.2	38.65	31.76	0.0125
1	36.48	29.91	0.004
1	36.42	29.87	0.004
1	36.4	29.89	0.004
1	36.12	29.62	0.004
1	36.12	29.71	0.004
1	36.14	29.66	0.004
1	35.81	29.45	0.004
1	35.32	29.11	0.004
1	34.21	28.34	0.004
1	33.91	28.02	0.004
1	33.84	28.38	0.004
1	34.01	28.49	0.004
1	33.34	27.51	0.004
1	33.19	27.25	0.004
1	35.62	29.8	0.003
1	35.45	30.09	0.003
1	35.67	30.07	0.003
1	35.81	30.09	0.003
1	35.96	30.08	0.003
1	35.43	28.98	0.0018
1	35.46	28.92	0.0018
1	35.57	28.92	0.0018
1	35.56	28.92	0.0018
1	35.47	28.92	0.0018
1	35.45	28.92	0.0018
0.88	36.58	29.24	0.011
0.88	36.65	29.3	0.011
0.88	36.66	29.18	0.011
