RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
7 27 34.289,64 40 59.8,0.197,1,1.12,0.139,2.13,1.58,0.2,5.8,5.63,0.2,07300+64243J
7 38 39.304,64 40 16.28,0.014,2.39,5.73,0.139,9.31,3.58,136.6,10.76,6.48,136.6,07360+64243J
7 50 24.019,64 40 1.21,0.014,22.09,24,0.14,1.96,1.13,6.8,5.74,5.52,6.8,07480+64243J
7 38 45.622,64 39 50.12,0.014,2.39,4.33,0.14,6.43,3.27,13.5,8.4,6.31,13.5,07360+64243J
7 39 32.799,64 39 18.03,0.082,1.41,1.25,0.139,2.63,0,37.5,6.01,4.3,37.5,07420+64243J
7 51 35.553,64 38 56.29,0.016,2.24,2.01,0.138,0,0,27.5,5.29,4.97,27.5,07540+64243J
7 50 32.291,64 38 47.49,0.016,1.36,1.07,0.137,1.5,0,19.2,5.61,4.05,19.2,07480+64243J
7 19 58.39,64 38 36.15,0.014,2.94,3.17,0.148,3.08,0,147.8,6.22,5.05,147.8,07180+64243J
7 1 43.536,64 38 33.3,0.014,1.69,1.57,0.149,1.45,0,133.8,5.59,4.85,133.8,07000+64243J
7 43 47.715,64 38 14.61,0.014,7.85,7.4,0.146,0,0,14,5.36,5.13,14,07420+64243J
6 56 19.957,64 38 11.32,0.014,4.33,5.45,0.137,3.31,2.08,50.1,6.34,5.79,50.1,06540+64243J
7 44 20.828,64 37 48.16,0.014,5.17,6.08,0.135,2.36,2.19,87.8,5.89,5.83,87.8,07420+64243J
7 44 19.743,64 37 44.66,0.014,9.83,10.29,0.135,1.78,0,26.5,5.69,5.37,26.5,07420+64243J
7 19 29.01,64 37 42.7,0.014,2.53,5.26,0.16,6.86,4.36,31.4,8.73,6.94,31.4,07180+64243J
7 2 39.698,64 37 40.12,0.072,1.03,1.51,0.134,4.83,2.38,14.2,7.25,5.9,14.2,07000+64243J
7 19 26.377,64 37 31.88,0.014,2.12,3.88,0.16,7.4,2.19,16.4,9.16,5.83,16.4,07180+64243J
7 19 26.339,64 37 23.64,0.014,1.88,2.5,0.16,4.6,0.76,28.6,7.09,5.45,28.6,07180+64243J
7 43 54.567,64 37 22.54,0.19,1.08,1.22,0.142,3.44,0,148.8,6.4,5.19,148.8,07420+64243J
7 31 44.119,64 37 15.48,0.014,1.99,1.78,0.146,0,0,125.3,5.29,4.93,125.3,07300+64243J
7 40 23.029,64 37 2.1,0.014,8.97,13.19,0.152,5.59,1.13,16.3,7.77,5.52,16.3,07420+64243J
7 40 22.99,64 36 50.99,0.014,2.91,3.87,0.151,4.28,1.55,155.5,6.89,5.62,155.5,07420+64243J
7 15 8.357,64 36 42.87,0.014,1.32,2.96,0.14,6.85,5.2,52,8.72,7.5,52,07180+64243J
7 14 26.966,64 36 3.19,0.014,1.95,2.92,0.141,6.35,0,161.7,8.34,5.25,161.7,07120+64243J
7 7 13.054,64 35 58.29,0.014,1.3,0.99,0.159,1.04,0,154.8,5.5,4.04,154.8,07060+64243J
7 25 39.405,64 35 50.94,0.014,1.52,1.41,0.148,3.61,0,33.5,6.49,4.16,33.5,07240+64243J
7 50 36.881,64 35 39.98,0.014,6.5,9.87,0.137,4.4,3.35,38.8,6.96,6.35,38.8,07480+64243J
6 58 27.301,64 35 35.87,0.014,1.62,1.67,0.149,0.99,0.84,179.9,5.49,5.46,179.9,07000+64243J
7 50 34.366,64 35 31.66,0.014,9.21,14.04,0.137,4.42,3.37,41.5,6.98,6.36,41.5,07480+64243J
7 21 34.556,64 35 29.35,0.014,1.99,2.08,0.141,3.1,0,174.2,6.23,4.88,174.2,07240+64243J
7 13 57.323,64 35 12.71,0.014,1.41,0.92,0.146,0,0,36.7,5.17,3.67,36.7,07120+64243J
7 25 7.397,64 35 5.85,0.014,1.84,1.4,0.159,0,0,60.1,5.18,4.29,60.1,07240+64243J
7 15 53.537,64 34 59.65,0.014,2.45,2.38,0.145,1.85,0,12.5,5.71,4.97,12.5,07180+64243J
7 51 5.781,64 34 58.37,0.014,2.4,2.7,0.136,3,0,4.9,6.17,5.31,4.9,07540+64243J
7 13 45.657,64 34 57.9,0.014,1.48,2.03,0.149,4.2,2.34,2.3,6.84,5.89,2.3,07120+64243J
7 44 10.052,64 34 53.16,0.014,3.41,6.24,0.138,5.61,4.21,138.4,7.79,6.85,138.4,07420+64243J
7 14 34.227,64 34 49.3,0.014,1.56,1,0.142,0,0,164.6,5.14,3.63,164.6,07120+64243J
7 1 37.006,64 34 43.82,0.014,4.23,4.03,0.147,0,0,34.8,5.36,5.18,34.8,07000+64243J
7 38 24.364,64 34 37.86,0.528,1.19,0.66,0.14,0,0,154.7,4.53,3.53,154.7,07420+64243J
6 58 54.671,64 34 31.08,0.014,7.01,6.86,0.156,1.15,0,6.7,5.52,5.18,6.7,07000+64243J
7 44 9.104,64 34 26.38,0.014,1.75,2.54,0.139,6.07,0,154.3,8.13,5.21,154.3,07420+64243J
7 3 56.859,64 34 20.85,0.014,1.61,2.45,0.14,7.09,0,14.1,8.91,4.98,14.1,07060+64243J
7 9 9.231,64 34 18.24,0.014,4.93,9.41,0.139,7.41,2.76,107.9,9.17,6.07,107.9,07120+64243J
7 23 54.584,64 34 10.84,0.215,1.5,0.67,0.162,0,0,87.6,3.64,3.61,87.6,07240+64243J
7 29 34.89,64 34 10.08,0.014,3.92,3.89,0.156,1.21,0,23.2,5.53,5.24,23.2,07300+64243J
6 57 7.25,64 34 9.74,0.014,2.67,3.33,0.135,3,2.4,179.4,6.17,5.91,179.4,07000+64243J
7 9 9.929,64 34 6.61,0.132,1.11,1.97,0.139,6.15,3.27,158.9,8.19,6.31,158.9,07120+64243J
14 35 55.835,64 34 4.69,0.014,1.75,1.83,0.158,1.95,0,14.9,5.74,5.29,14.9,14360+64240M
14 35 56.897,64 33 58.08,0.014,1.82,2.5,0.156,3.96,2.57,145.3,6.7,5.98,145.3,14360+64240M
10 21 6.857,64 33 57.34,0.014,30.7,31.93,0.163,1.53,0.22,66,5.61,5.4,66,10210+64240M
7 1 45.202,64 33 56.31,0.014,4.14,4.14,0.145,1.28,0,0.3,5.55,5.26,0.3,07000+64243J
7 9 10.336,64 33 56.09,0.164,1.02,2.44,0.139,7.9,4.89,71.6,9.57,7.29,71.6,07120+64243J
